,Title,Company,Work_Environment,Job_Description,When_Posted,Pay,City,State,Rating
270,"Founding Fullstack Engineer, AI Startup",Recruiting From Scratch,Hybrid,Data science : Hands-on experience with data science projects.,Posted 30+ days ago·,200000.0,   Los Angeles,CA,
271,Senior Staff AI Data Engineer,Recruiting From Scratch,,Build data processing streams for cleaning and modeling text data for LLMs.,Posted 30+ days ago·,160000.0,Los Angeles,CA,
272,Senior Machine Learning Engineer - CX,StubHub,Hybrid,"In order to transform how millions of users explore, interact with, and participate in live events worldwide, StubHub is seeking Senior Software Engineers to…",Posted 30+ days ago·,275000.0,   Los Angeles,CA,
273,Lead Machine Learning Engineer,Logic20/20 Inc.,,Collaborate with other data scientists and stakeholders on projects.,Posted 7 days ago·,215000.0,Los Angeles,CA,
274,"Senior Fullstack Engineer, Seed",Recruiting From Scratch,Remote,Third-party data providers for enrichment.,Posted 24 days ago·,140000.0,  Los Angeles,CA,
275,"Adjunct - FY24 Mathematics Instructor, (Statistics Emphasis)",Los Angeles Community College District,,"Be knowledgeable in various programming languages related to data science, such as Python, R, etc.;",Posted 30+ days ago·,,Los Angeles,CA,
276,"AI/ML Specialist, Trust and Safety - USDS",TikTok,Hybrid,"Extensive experience in machine learning, data science, and data governance.",Posted 30+ days ago·,312866.0,   Los Angeles,CA,
277,AI Solution Architect,Deloitte,,"Build tools and capabilities that assist with data ingestion, feature engineering, data management, and organization.",Posted 30+ days ago·,,Los Angeles,CA,
278,"Senior Software Engineer, AI Product",Recruiting From Scratch,,Our client is building a product to help developers build AI products..,Posted 30+ days ago·,200000.0,Los Angeles,CA,
279,"Research Scientist, Machine Learning (PhD)",Meta,,"Research and/or work experience in machine learning, NLP, recommendation systems, pattern recognition, signal processing, data mining, artificial intelligence,…",Posted 30+ days ago·,173000.0,Los Angeles,CA,
280,"Principal Machine Learning Engineer, ML Training Platform",Snapchat,,Masters/PhD in a technical field such as computer science.,Posted 30+ days ago·,311000.0,Los Angeles,CA,
281,Certification Engineer (Associate or Mid-Level),BOEING,Hybrid,"Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,…",Posted 7 days ago·,,   Long Beach,CA,
282,Signal Processing Architect,Pacific Defense,Hybrid,"Eight (8) years of relevant experience with a bachelor’s degree in electrical engineering, computer science, data science, mathematics, or other applicable…",Active 4 days ago·,170197.0,   El Segundo,CA,
283,"Oracle Analytics & AI, Manager",Deloitte,,Cloud based data integration strategies.,Posted 19 days ago·,,Los Angeles,CA,
284,Lead Palantir Developer,Logic20/20 Inc.,,"Translating client user requirements into data flows, data mapping, etc.",Posted 30+ days ago·,180000.0,Los Angeles,CA,
285,"Machine Learning Engineer, 5+ Years Experience",Snapchat,,Advanced degree in computer science or related field.,Posted 30+ days ago·,257000.0,Los Angeles,CA,
286,"Founding AI Engineer, Seed",Recruiting From Scratch,Remote,"The company is led by co-founders with PhDs in AI, Blockchain, Math and Systems, is ready to redefine computing.",Posted 30+ days ago·,200000.0,  Los Angeles,CA,
287,Deals Tech & Data Solutions (Financial Analytics) - Manager,PRICE WATERHOUSE COOPERS,,And/or data visualization certifications such as Tableau and PowerBI.,Posted 30+ days ago·,,Los Angeles,CA,3.8
288,Power Market Consultant - 1898 & Co. (Multiple California Locations),Burns & McDonnell,,"Conduct data analysis and interpretation of engineering, financial, and economic conditions and results, and subsequent technical business implications to…",Posted 17 days ago·,235000.0,Los Angeles,CA,
289,"Senior Software Engineer, AI",Recruiting From Scratch,Remote,Building edge applications processing vision data and communication layers for the compute-constrained edge devices.,Posted 30+ days ago·,220000.0,  Los Angeles,CA,
290,Deals Tech & Data Solutions (Financial Analytics) - Sr. Associate,PRICE WATERHOUSE COOPERS,,And/or data visualization certifications such as Tableau and PowerBI.,Posted 30+ days ago·,,Los Angeles,CA,4.0
291,"Military Service - Air Force Reserve, Operations Research Analyst",Military Service - Air Force Reserve,,"Bachelor’s degree in one of the following fields: operations research, mathematics, statistics, industrial engineering, computer science, computational science,…",Active 4 days ag,,,CA,
